"lakename","year4","daynum","sampledate","depth","depth_id","DIC_mg","doc","absorbance","tpc"
"East Long Lake",1988,155,1988-06-03,"Epilimnion",-1,NA,5.55,NA,1.57
"West Long Lake",1988,155,1988-06-03,"Epilimnion",-1,NA,6.79,NA,1.35
"Paul Lake",1988,158,1988-06-06,"Metalimnion",-2,NA,3.76,NA,1.42
"Paul Lake",1988,158,1988-06-06,"Epilimnion",-1,NA,5.1,NA,1.11
"Peter Lake",1988,159,1988-06-07,"Epilimnion",-1,NA,4.27,NA,0.73
"Tuesday Lake",1988,160,1988-06-08,"Metalimnion",-2,NA,8.51,NA,1.79
"Tuesday Lake",1988,160,1988-06-08,"Epilimnion",-1,NA,8.68,NA,1.13
"Paul Lake",1988,165,1988-06-13,"Metalimnion",-2,NA,3.94,NA,1.88
"Paul Lake",1988,165,1988-06-13,"Epilimnion",-1,NA,5.32,NA,1.38
"Peter Lake",1988,166,1988-06-14,"Metalimnion",-2,NA,3.55,NA,1.04
"Peter Lake",1988,166,1988-06-14,"Epilimnion",-1,NA,4.87,NA,0.7
"Tuesday Lake",1988,167,1988-06-15,"Metalimnion",-2,NA,8.37,NA,1.89
"Tuesday Lake",1988,167,1988-06-15,"Epilimnion",-1,NA,8.79,NA,1.33
"East Long Lake",1988,169,1988-06-17,"Epilimnion",-1,NA,6.46,NA,1.13
"West Long Lake",1988,169,1988-06-17,"Epilimnion",-1,NA,6.25,NA,0.92
"Paul Lake",1988,172,1988-06-20,"Metalimnion",-2,NA,3.77,NA,2.85
"Paul Lake",1988,172,1988-06-20,"Epilimnion",-1,NA,4.9,NA,1.72
"Peter Lake",1988,173,1988-06-21,"Metalimnion",-2,NA,3.8,NA,1.84
"Peter Lake",1988,173,1988-06-21,"Epilimnion",-1,NA,4.53,NA,1.5
"Tuesday Lake",1988,174,1988-06-22,"Metalimnion",-2,NA,8.7,NA,1.9
"Tuesday Lake",1988,174,1988-06-22,"Epilimnion",-1,NA,9.48,NA,1.34
"Paul Lake",1988,179,1988-06-27,"Metalimnion",-2,NA,3.94,NA,2.11
"Paul Lake",1988,179,1988-06-27,"Epilimnion",-1,NA,5.34,NA,1.2
"Peter Lake",1988,180,1988-06-28,"Metalimnion",-2,NA,4.03,NA,2.45
"Peter Lake",1988,180,1988-06-28,"Epilimnion",-1,NA,5.8,NA,1.22
"Tuesday Lake",1988,181,1988-06-29,"Metalimnion",-2,NA,8.68,NA,2.06
"Tuesday Lake",1988,181,1988-06-29,"Epilimnion",-1,NA,10.2,NA,2.56
"East Long Lake",1988,183,1988-07-01,"Epilimnion",-1,NA,6.46,NA,0.79
"West Long Lake",1988,183,1988-07-01,"Epilimnion",-1,NA,6.54,NA,1
"Paul Lake",1988,186,1988-07-04,"Metalimnion",-2,NA,6.63,NA,1.77
"Paul Lake",1988,186,1988-07-04,"Epilimnion",-1,NA,5.47,NA,2.22
"Peter Lake",1988,187,1988-07-05,"Metalimnion",-2,NA,4.17,NA,1.21
"Peter Lake",1988,187,1988-07-05,"Epilimnion",-1,NA,4.91,NA,1.12
"Tuesday Lake",1988,188,1988-07-06,"Metalimnion",-2,NA,9.33,NA,2.7
"Tuesday Lake",1988,188,1988-07-06,"Epilimnion",-1,NA,9.35,NA,1.56
"Paul Lake",1988,193,1988-07-11,"Metalimnion",-2,NA,4.21,NA,2.15
"Paul Lake",1988,193,1988-07-11,"Epilimnion",-1,NA,5.78,NA,4.38
"Peter Lake",1988,194,1988-07-12,"Metalimnion",-2,NA,3.64,NA,3.22
"Peter Lake",1988,194,1988-07-12,"Epilimnion",-1,NA,4.29,NA,1.67
"Tuesday Lake",1988,195,1988-07-13,"Metalimnion",-2,NA,9.46,NA,1.1
"Tuesday Lake",1988,195,1988-07-13,"Epilimnion",-1,NA,7.63,NA,1.42
"East Long Lake",1988,197,1988-07-15,"Epilimnion",-1,NA,5.19,NA,1.57
"West Long Lake",1988,197,1988-07-15,"Epilimnion",-1,NA,6.39,NA,3.74
"Paul Lake",1988,200,1988-07-18,"Metalimnion",-2,NA,3.59,NA,1.38
"Paul Lake",1988,200,1988-07-18,"Epilimnion",-1,NA,4.64,NA,0.69
"Peter Lake",1988,201,1988-07-19,"Metalimnion",-2,NA,3.79,NA,1.52
"Peter Lake",1988,201,1988-07-19,"Epilimnion",-1,NA,4.5,NA,1.89
"Tuesday Lake",1988,202,1988-07-20,"Metalimnion",-2,NA,8.57,NA,1.16
"Tuesday Lake",1988,202,1988-07-20,"Epilimnion",-1,NA,9.25,NA,0.87
"Paul Lake",1988,207,1988-07-25,"Metalimnion",-2,NA,3.12,NA,1.25
"Paul Lake",1988,207,1988-07-25,"Epilimnion",-1,NA,4.34,NA,0.92
"Peter Lake",1988,208,1988-07-26,"Metalimnion",-2,NA,2.98,NA,1.18
"Peter Lake",1988,208,1988-07-26,"Epilimnion",-1,NA,5.41,NA,1.01
"Tuesday Lake",1988,209,1988-07-27,"Metalimnion",-2,NA,9.62,NA,0.79
"Tuesday Lake",1988,209,1988-07-27,"Epilimnion",-1,NA,8.74,NA,1.15
"East Long Lake",1988,211,1988-07-29,"Epilimnion",-1,NA,6.31,NA,0.69
"West Long Lake",1988,211,1988-07-29,"Epilimnion",-1,NA,6.1,NA,0.82
"Paul Lake",1988,214,1988-08-01,"Metalimnion",-2,NA,2.81,NA,0.83
"Paul Lake",1988,214,1988-08-01,"Epilimnion",-1,NA,5.24,NA,0.65
"Peter Lake",1988,215,1988-08-02,"Metalimnion",-2,NA,3.69,NA,1.72
"Peter Lake",1988,215,1988-08-02,"Epilimnion",-1,NA,5.02,NA,1.69
"Tuesday Lake",1988,216,1988-08-03,"Metalimnion",-2,NA,8.57,NA,0.57
"Tuesday Lake",1988,216,1988-08-03,"Epilimnion",-1,NA,8.27,NA,0.51
"Paul Lake",1988,221,1988-08-08,"Metalimnion",-2,NA,3.86,NA,0.96
"Paul Lake",1988,221,1988-08-08,"Epilimnion",-1,NA,5.42,NA,0.95
"Peter Lake",1988,222,1988-08-09,"Metalimnion",-2,NA,3.79,NA,1.19
"Peter Lake",1988,222,1988-08-09,"Epilimnion",-1,NA,3.76,NA,0.46
"Tuesday Lake",1988,223,1988-08-10,"Metalimnion",-2,NA,10.26,NA,1.12
"Tuesday Lake",1988,223,1988-08-10,"Epilimnion",-1,NA,8.39,NA,0.71
"East Long Lake",1988,225,1988-08-12,"Epilimnion",-1,NA,6.19,NA,0.45
"West Long Lake",1988,225,1988-08-12,"Epilimnion",-1,NA,6.06,NA,0.54
"Paul Lake",1988,228,1988-08-15,"Metalimnion",-2,NA,3.69,NA,1.11
"Paul Lake",1988,228,1988-08-15,"Epilimnion",-1,NA,5.11,NA,0.9
"Peter Lake",1988,229,1988-08-16,"Metalimnion",-2,NA,3.5,NA,0.85
"Peter Lake",1988,229,1988-08-16,"Epilimnion",-1,NA,4.36,NA,0.51
"Tuesday Lake",1988,230,1988-08-17,"Metalimnion",-2,NA,9.39,NA,1.13
"Tuesday Lake",1988,230,1988-08-17,"Epilimnion",-1,NA,8.52,NA,1.31
"Paul Lake",1988,235,1988-08-22,"Metalimnion",-2,NA,4.66,NA,1.46
"Paul Lake",1988,235,1988-08-22,"Epilimnion",-1,NA,5.39,NA,0.93
"Peter Lake",1988,236,1988-08-23,"Metalimnion",-2,NA,3.69,NA,0.44
"Peter Lake",1988,236,1988-08-23,"Epilimnion",-1,NA,4.81,NA,2.61
"Tuesday Lake",1988,236,1988-08-23,"Metalimnion",-2,NA,8.6,NA,0.74
"Tuesday Lake",1988,236,1988-08-23,"Epilimnion",-1,NA,10.36,NA,1.58
"East Long Lake",1988,239,1988-08-26,"Epilimnion",-1,NA,6.03,NA,1.15
"West Long Lake",1988,239,1988-08-26,"Epilimnion",-1,NA,7.47,NA,0.81
"Paul Lake",1988,242,1988-08-29,"Metalimnion",-2,NA,4.64,NA,0.77
"Paul Lake",1988,242,1988-08-29,"Epilimnion",-1,NA,4.55,NA,0.67
"Peter Lake",1988,243,1988-08-30,"Metalimnion",-2,NA,3.87,NA,0.5
"Peter Lake",1988,243,1988-08-30,"Epilimnion",-1,NA,4.11,NA,0.47
"Tuesday Lake",1988,244,1988-08-31,"Metalimnion",-2,NA,8.95,NA,1.13
"Tuesday Lake",1988,244,1988-08-31,"Epilimnion",-1,NA,9.04,NA,1.72
"Paul Lake",1988,249,1988-09-05,"Metalimnion",-2,NA,4.74,NA,0.73
"Paul Lake",1988,249,1988-09-05,"Epilimnion",-1,NA,5.26,NA,0.81
"Peter Lake",1988,250,1988-09-06,"Metalimnion",-2,NA,4.05,NA,0.52
"Peter Lake",1988,250,1988-09-06,"Epilimnion",-1,NA,4.65,NA,2.37
"Tuesday Lake",1988,251,1988-09-07,"Metalimnion",-2,NA,9.38,NA,0.89
"Tuesday Lake",1988,251,1988-09-07,"Epilimnion",-1,NA,9.64,NA,2.44
"Paul Lake",1989,142,1989-05-22,"Metalimnion",-2,NA,5.5,NA,3.72
"Paul Lake",1989,142,1989-05-22,"Epilimnion",-1,NA,5.08,NA,1.09
"Peter Lake",1989,143,1989-05-23,"Metalimnion",-2,NA,4.82,NA,1.24
"Peter Lake",1989,143,1989-05-23,"Epilimnion",-1,NA,4.74,NA,0.61
"Tuesday Lake",1989,144,1989-05-24,"Metalimnion",-2,NA,8.57,NA,2.11
"Tuesday Lake",1989,144,1989-05-24,"Epilimnion",-1,NA,8.38,NA,1.12
"East Long Lake",1989,146,1989-05-26,"Epilimnion",-1,NA,6.93,NA,0.95
"West Long Lake",1989,146,1989-05-26,"Epilimnion",-1,NA,7.65,NA,2.36
"Paul Lake",1989,149,1989-05-29,"Metalimnion",-2,NA,4.37,NA,2.46
"Paul Lake",1989,149,1989-05-29,"Epilimnion",-1,NA,4.69,NA,0.58
"Peter Lake",1989,150,1989-05-30,"Metalimnion",-2,NA,5.19,NA,0.82
"Peter Lake",1989,150,1989-05-30,"Epilimnion",-1,NA,5.11,NA,0.7
"Tuesday Lake",1989,151,1989-05-31,"Metalimnion",-2,NA,9.36,NA,1.55
"Tuesday Lake",1989,151,1989-05-31,"Epilimnion",-1,NA,9.56,NA,0.82
"Paul Lake",1989,156,1989-06-05,"Metalimnion",-2,NA,5.7,NA,4.44
"Paul Lake",1989,156,1989-06-05,"Epilimnion",-1,NA,4.69,NA,0.74
"Peter Lake",1989,157,1989-06-06,"Metalimnion",-2,NA,5.01,NA,1.03
"Peter Lake",1989,157,1989-06-06,"Epilimnion",-1,NA,4.86,NA,0.47
"Tuesday Lake",1989,158,1989-06-07,"Metalimnion",-2,NA,10.22,NA,1.44
"Tuesday Lake",1989,158,1989-06-07,"Epilimnion",-1,NA,9.51,NA,0.82
"East Long Lake",1989,161,1989-06-10,"Epilimnion",-1,NA,8.22,NA,0.92
"West Long Lake",1989,161,1989-06-10,"Epilimnion",-1,NA,7.22,NA,0.68
"Paul Lake",1989,163,1989-06-12,"Metalimnion",-2,NA,4.78,NA,2.93
"Paul Lake",1989,163,1989-06-12,"Epilimnion",-1,NA,5.01,NA,1.02
"Peter Lake",1989,164,1989-06-13,"Metalimnion",-2,NA,5.93,NA,1.69
"Peter Lake",1989,164,1989-06-13,"Epilimnion",-1,NA,8.77,NA,0.79
"Tuesday Lake",1989,165,1989-06-14,"Metalimnion",-2,NA,9.66,NA,1.03
"Tuesday Lake",1989,165,1989-06-14,"Epilimnion",-1,NA,8.9,NA,0.97
"Paul Lake",1989,170,1989-06-19,"Metalimnion",-2,NA,5.32,NA,2.79
"Paul Lake",1989,170,1989-06-19,"Epilimnion",-1,NA,5.88,NA,0.98
"Peter Lake",1989,171,1989-06-20,"Metalimnion",-2,NA,4.49,NA,1.08
"Peter Lake",1989,171,1989-06-20,"Epilimnion",-1,NA,5.26,NA,0.69
"Tuesday Lake",1989,172,1989-06-21,"Metalimnion",-2,NA,9.88,NA,1.16
"Tuesday Lake",1989,172,1989-06-21,"Epilimnion",-1,NA,9.49,NA,0.84
"East Long Lake",1989,174,1989-06-23,"Epilimnion",-1,NA,9.25,NA,3.23
"West Long Lake",1989,174,1989-06-23,"Epilimnion",-1,NA,8.14,NA,1.3
"Paul Lake",1989,177,1989-06-26,"Epilimnion",-1,NA,5,NA,1.5
"Peter Lake",1989,178,1989-06-27,"Metalimnion",-2,NA,4.29,NA,1.41
"Peter Lake",1989,178,1989-06-27,"Epilimnion",-1,NA,4.76,NA,0.64
